course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject,published_year,course_age_months,review_rate,avg_lecture_duration,price_per_hour,popularity_score,quality_score,length_category,price_category
1070968.0,Ultimate Investment Banking Course,https://www.udemy.com/ultimate-investment-banking-course/,True,200.0,2147.0,23.0,51.0,All Levels,1.5,2017-01-18,Business Finance,2017.0,106.6,0.01071262226362366,0.02941176470588235,133.3333333333333,0.006658677768161815,0.005775330989709444,Short,Premium
1113822.0,Complete GST Course & Certification - Grow Your CA Practice,https://www.udemy.com/goods-and-services-tax/,True,75.0,2792.0,923.0,274.0,All Levels,39.0,2017-03-09,Business Finance,2017.0,105.0,0.3305873925501432,0.1423357664233577,1.923076923076923,0.1134183488128186,0.1821091453550498,Long,Mid-Range
1006314.0,Financial Modeling for Business Analysts and Consultants,https://www.udemy.com/financial-modeling-for-business-analysts-and-consultants/,True,45.0,2174.0,74.0,51.0,Intermediate Level,2.5,2016-12-19,Business Finance,2016.0,107.6,0.03403863845446182,0.04901960784313725,18.0,0.01425412141351783,0.01836747007437975,Medium,Budget
1210588.0,Beginner to Pro - Financial Analysis in Excel 2017,https://www.udemy.com/complete-excel-finance-course-from-beginner-to-pro/,True,95.0,2451.0,11.0,36.0,All Levels,3.0,2017-05-30,Business Finance,2017.0,102.2,0.00448796409628723,0.08333333333333333,31.66666666666667,0.00511228292656812,0.002444382849746821,Medium,Mid-Range
1011058.0,How To Maximize Your Profits Trading Options,https://www.udemy.com/how-to-maximize-your-profits-trading-options/,True,200.0,1276.0,45.0,26.0,Intermediate Level,2.0,2016-12-13,Business Finance,2016.0,107.8,0.03526645768025078,0.07692307692307693,100.0,0.01296977122705946,0.01845305030122942,Medium,Premium
192870.0,Trading Penny Stocks: A Guide for All Levels In 2017,https://www.udemy.com/trading-penny-stocks-a-guide-for-all-levels/,True,150.0,9221.0,138.0,25.0,All Levels,3.0,2014-05-02,Business Finance,2014.0,139.7,0.01496583884611214,0.12,50.0,0.01971367328970502,0.00999703857044175,Medium,Premium
739964.0,Investing And Trading For Beginners: Mastering Price Charts,https://www.udemy.com/investing-and-trading-for-beginners-mastering-price-charts/,True,65.0,1540.0,178.0,26.0,Beginner Level,1.0,2016-02-21,Business Finance,2016.0,117.7,0.1155844155844156,0.03846153846153846,65.0,0.03891165278052638,0.06103505712724149,Short,Mid-Range
403100.0,"Trading Stock Chart Patterns For Immediate, Explosive Gains",https://www.udemy.com/trading-chart-patterns-for-immediate-explosive-gains/,True,95.0,2917.0,148.0,23.0,All Levels,2.5,2015-01-30,Business Finance,2015.0,130.6,0.05073705862187178,0.108695652173913,38.0,0.02117768702956704,0.02806483100523358,Medium,Mid-Range
476268.0,Options Trading 3 : Advanced Stock Profit and Success Method,https://www.udemy.com/day-trading-stock-options-3/,True,195.0,5172.0,34.0,38.0,Expert Level,2.5,2015-05-28,Business Finance,2015.0,126.7,0.006573859242072699,0.06578947368421052,78.0,0.01003671854730067,0.003906350280537169,Medium,Premium
1167710.0,The Only Investment Strategy You Need For Your Retirement,https://www.udemy.com/the-only-investment-strategy-you-need-for-your-retirement/,True,200.0,827.0,14.0,15.0,All Levels,1.0,2017-04-18,Business Finance,2017.0,103.6,0.01692865779927449,0.06666666666666667,200.0,0.006461722564226156,0.008719384465314051,Short,Premium
